policy_id,is_claim
ID58593,0.0
ID58594,
ID58595,
ID58596,
ID58597,
ID58598,
ID58599,
ID58600,
ID58601,
ID58602,
ID58603,
ID58604,
ID58605,
ID58606,
ID58607,
ID58608,
ID58609,
ID58610,
ID58611,
ID58612,
ID58613,
ID58614,
ID58615,
ID58616,
ID58617,
ID58618,
ID58619,
ID58620,
ID58621,
ID58622,
ID58623,
ID58624,
ID58625,
ID58626,
ID58627,
ID58628,
ID58629,
ID58630,
ID58631,
ID58632,
ID58633,
ID58634,
ID58635,
ID58636,
ID58637,
ID58638,
ID58639,
ID58640,
ID58641,
ID58642,
ID58643,
ID58644,
ID58645,
ID58646,
ID58647,
ID58648,
ID58649,
ID58650,
ID58651,
ID58652,
ID58653,
ID58654,
ID58655,
ID58656,
ID58657,
ID58658,
ID58659,
ID58660,
ID58661,
ID58662,
ID58663,
ID58664,
ID58665,
ID58666,
ID58667,
ID58668,
ID58669,
ID58670,
ID58671,
ID58672,
ID58673,
ID58674,
ID58675,
ID58676,
ID58677,
ID58678,
ID58679,
ID58680,
ID58681,
ID58682,
ID58683,
ID58684,
ID58685,
ID58686,
ID58687,
ID58688,
ID58689,
ID58690,
ID58691,
ID58692,
ID58693,
ID58694,
ID58695,
ID58696,
ID58697,
ID58698,
ID58699,
ID58700,
ID58701,
ID58702,
ID58703,
ID58704,
ID58705,
ID58706,
ID58707,
ID58708,
ID58709,
ID58710,
ID58711,
ID58712,
ID58713,
ID58714,
ID58715,
ID58716,
ID58717,
ID58718,
ID58719,
ID58720,
ID58721,
ID58722,
ID58723,
ID58724,
ID58725,
ID58726,
ID58727,
ID58728,
ID58729,
ID58730,
ID58731,
ID58732,
ID58733,
ID58734,
ID58735,
ID58736,
ID58737,
ID58738,
ID58739,
ID58740,
ID58741,
ID58742,
ID58743,
ID58744,
ID58745,
ID58746,
ID58747,
ID58748,
ID58749,
ID58750,
ID58751,
ID58752,
ID58753,
ID58754,
ID58755,
ID58756,
ID58757,
ID58758,
ID58759,
ID58760,
ID58761,
ID58762,
ID58763,
ID58764,
ID58765,
ID58766,
ID58767,
ID58768,
ID58769,
ID58770,
ID58771,
ID58772,
ID58773,
ID58774,
ID58775,
ID58776,
ID58777,
ID58778,
ID58779,
ID58780,
ID58781,
ID58782,
ID58783,
ID58784,
ID58785,
ID58786,
ID58787,
ID58788,
ID58789,
ID58790,
ID58791,
ID58792,
ID58793,
ID58794,
ID58795,
ID58796,
ID58797,
ID58798,
ID58799,
ID58800,
ID58801,
ID58802,
ID58803,
ID58804,
ID58805,
ID58806,
ID58807,
ID58808,
ID58809,
ID58810,
ID58811,
ID58812,
ID58813,
ID58814,
ID58815,
ID58816,
ID58817,
ID58818,
ID58819,
ID58820,
ID58821,
ID58822,
ID58823,
ID58824,
ID58825,
ID58826,
ID58827,
ID58828,
ID58829,
ID58830,
ID58831,
ID58832,
ID58833,
ID58834,
ID58835,
ID58836,
ID58837,
ID58838,
ID58839,
ID58840,
ID58841,
ID58842,
ID58843,
ID58844,
ID58845,
ID58846,
ID58847,
ID58848,
ID58849,
ID58850,
ID58851,
ID58852,
ID58853,
ID58854,
ID58855,
ID58856,
ID58857,
ID58858,
ID58859,
ID58860,
ID58861,
ID58862,
ID58863,
ID58864,
ID58865,
ID58866,
ID58867,
ID58868,
